SubjectID,SubjectName,isDeleted
1,Fondamenti di informatica e programmazione,0
2,Algoritmi e strutture dati,0
3,"HTML5, CSS3, JavaScript",0
4,"Framework front-end (React, Angular)",0
5,"Sviluppo back-end (Node.js, API REST, Database)",0
6,Data Management e SQL,0
7,Data analysis per sviluppatori,0
8,Cloud computing,0
9,Intelligenza artificiale applicata al web,0
10,Machine Learning e Big Data,0
11,DevOps e CI/CD,0
12,Sicurezza applicativa e protezione dati,0
13,UX/UI Design,0
14,Automazione industriale e sistemi meccatronici,0
15,Controllori PLC e robotica industriale,0
16,Sensori e attuatori,0
17,Internet of Things (IoT) per la produzione,0
18,Sistemi cyber-fisici e smart factory,0
19,Manutenzione predittiva,0
20,Analisi dei dati di produzione,0
21,Qualità e sicurezza sul lavoro,0
22,Normative e certificazioni industriali,0
23,Progettazione e integrazione macchine,0
24,Architetture di rete e sistemi operativi,0
25,Crittografia e protocolli sicuri,0
26,Sicurezza delle infrastrutture IT,0
27,Penetration testing e ethical hacking,0
28,Sicurezza applicativa e vulnerabilità web,0
29,Incident response e digital forensics,0
30,Sicurezza by design nei servizi digitali,0
31,Normative GDPR e privacy,0
32,Cloud e sicurezza dei dati,0
33,Design grafico e comunicazione visiva,0
34,User Experience (UX) e User Interface (UI),0
35,Motion graphics e animazione 2D/3D,0
36,Realtà virtuale (VR) e aumentata (AR),0
37,Produzione multimediale e video editing,0
38,Prototipazione digitale,0
39,Web design responsivo,0
40,Storytelling e comunicazione visiva,0
41,"Strumenti di design (Adobe, Blender, ecc.)",0
42,Statistica e probabilità per data science,0
43,Big Data e data warehouse,0
44,Machine Learning e Deep Learning,0
45,Data visualization e dashboarding,0
46,Analisi predittiva e modelli statistici,0
47,Etica dei dati e data governance,0
48,Business Intelligence e cloud analytics,0
49,Python per analisi dati,0
50,Fondamenti di meccanica e idraulica,0
51,Componenti e funzionamento TBM,0
52,Sistemi meccatronici per infrastrutture,0
53,Controlli automatici e sensoristica,0
54,Manutenzione e diagnostica predittiva,0
55,Sicurezza cantieri e normativa tecnica,0
56,Disegno tecnico e CAD,0
